Time (s), X Position (pixels), Y Position (pixels)
2.83333333333,224.694412107,133.483701979
2.86666666667,216.566182750,133.166524338
2.9,208.236503856,132.810911168
2.93333333333,200.954259577,132.258433391
2.96666666667,193.984715539,131.933767337
3.0,187.512612108,131.459360987
3.03333333333,181.618030513,131.030513176
3.06666666667,176.193787795,130.666300165
3.1,171.433659598,130.270527461
3.13333333333,167.205818966,129.954741379
3.16666666667,163.740968691,129.655873695
3.2,160.852297009,129.494123932
3.23333333333,158.677453581,129.373209549
3.26666666667,157.250132626,129.245623342
3.3,156.612529613,129.341668860
3.33333333333,156.636747624,129.371700106
3.36666666667,157.525580169,129.611550633
3.4,159.175536140,129.855440826
3.43333333333,161.453913973,130.187015763
3.46666666667,164.631961259,130.755178908
3.5,168.368748310,131.319545823
3.53333333333,172.698087432,131.940710383
3.56666666667,177.591158704,132.515925316
3.6,183.053344389,132.956329464
3.63333333333,189.017867113,133.269681742
3.66666666667,195.474380631,133.623592342
3.7,202.491951426,133.910477266
3.73333333333,209.902411348,133.978156028
3.76666666667,217.726711560,134.158249158
3.8,225.340559042,134.304335425
3.83333333333,233.073219948,134.374171231
3.86666666667,241.400463634,134.151260504
3.9,249.689866045,133.726849156
3.93333333333,258.518648019,133.159673660
3.96666666667,266.835087719,132.678654971
4.0,275.326884204,131.942535374
4.03333333333,283.951366906,131.113669065
4.06666666667,293.475620438,130.291970803
4.1,302.095279977,129.244503078
4.13333333333,310.482991202,127.909677419
4.16666666667,318.510008703,127.102117784
4.2,326.631578947,125.515142605
4.23333333333,334.684288246,124.234790313
4.26666666667,342.565497076,122.883040936
4.3,349.904469763,121.706690038
4.33333333333,356.974716652,120.434466725
4.36666666667,363.502024291,119.285425101
4.4,369.216860465,118.000581395
4.43333333333,374.442426018,116.612364489
4.46666666667,379.210510776,115.281369944
4.5,383.226015303,113.977339612
4.53333333333,386.656499852,112.772283092
4.56666666667,389.473871734,111.749109264
4.6,391.654691211,110.954572447
4.63333333333,393.029169122,110.512080141
4.66666666667,393.883382789,110.148961424
4.7,393.898235294,110.298529412
4.73333333333,393.481470501,110.364067596
4.76666666667,392.034195659,110.869164437
4.8,390.214435460,111.422581611
4.83333333333,387.711377246,112.268263473
4.86666666667,384.444079928,113.370414554
4.9,380.510701546,114.695897741
4.93333333333,375.867143283,115.767947572
4.96666666667,370.848972297,117.080726839
5.0,365.187759952,118.339869281
5.03333333333,358.980958048,119.665278191
5.06666666667,352.150090416,121.027426160
5.1,345.002385923,122.850283328
5.13333333333,337.434190620,124.342511346
5.16666666667,329.772849865,125.980821097
5.2,321.522189349,127.744378698
5.23333333333,313.503997631,129.032573290
5.26666666667,305.179265013,130.109949208
5.3,296.879988088,131.208457415
5.33333333333,287.934315169,132.071281296
5.36666666667,278.749486653,132.784100909
5.4,270.300415184,133.287366548
5.43333333333,262.145190024,133.586401425
5.46666666667,253.833732057,133.365131579
5.5,245.555062167,133.621373594
5.53333333333,237.896825397,133.632275132
5.56666666667,230.332267442,133.253779070
5.6,223.491661875,132.724554342
5.63333333333,216.661126761,132.603943662
5.66666666667,209.400170406,132.558648111
5.7,203.057659695,132.514697569
5.73333333333,197.241126761,132.236056338
5.76666666667,191.829275119,131.858662189
5.8,187.032177531,131.721220527
5.83333333333,182.720834477,131.567664013
5.86666666667,178.899564507,131.492651062
5.9,175.740581270,131.460710441
5.93333333333,173.109625668,131.248930481
5.96666666667,171.074993328,131.134507606
6.0,169.498272655,131.098857295
6.03333333333,168.703488372,131.170718816
6.06666666667,168.624205508,131.251588983
6.1,169.232133404,131.339862361
6.13333333333,170.303287381,131.416489926
6.16666666667,172.030262809,131.676931245
6.2,174.531158064,132.034768655
6.23333333333,177.606060606,132.222847949
6.26666666667,181.209132667,132.426911646
6.3,185.426318651,132.726481784
6.33333333333,190.177924217,132.956068094
6.36666666667,195.384508990,133.090733057
6.4,200.985793872,133.250696379
6.43333333333,207.096459437,133.534151101
6.46666666667,213.962337303,133.575186929
6.5,220.670085944,133.739395620
6.53333333333,227.288832200,133.957199546
6.56666666667,234.537121645,133.934037693
6.6,241.980549199,134.035183066
6.63333333333,249.794968190,133.657605552
6.66666666667,257.894552869,133.096417128
6.7,265.779965258,132.833526346
6.73333333333,273.348370198,132.231082654
6.76666666667,281.339778220,131.701450100
6.8,289.860097673,130.975007182
6.83333333333,298.418224299,130.265478972
6.86666666667,306.137066200,129.142023914
6.9,313.754294032,128.215429403
6.93333333333,320.971511628,127.105813953
6.96666666667,328.489361702,125.558510638
7.0,335.404223676,124.196609161
7.03333333333,342.443988270,123.275659824
7.06666666667,348.757398183,121.989745092
7.1,354.651715040,120.819700967
7.13333333333,360.261614402,119.654471545
7.16666666667,365.135285505,118.575109810
7.2,369.367155425,117.455425220
7.23333333333,373.060882353,116.502647059
7.26666666667,376.358384910,115.722959033
7.3,379.018862364,114.907456528
7.33333333333,380.978994083,114.381656805
7.36666666667,382.445527015,113.944493652
7.4,383.105387106,113.692081248
7.43333333333,383.284912902,113.629465604
7.46666666667,382.749852158,113.782377292
7.5,381.583751846,114.093057607
7.53333333333,380.010404281,114.505350773
7.56666666667,377.617960877,115.292827504
7.6,374.695071259,116.184085511
7.63333333333,371.309144543,117.141002950
7.66666666667,367.262816735,118.175014732
7.7,362.674411765,119.103823529
7.73333333333,357.501777251,120.096860190
7.76666666667,351.804819994,121.454031538
7.8,345.889087125,122.584299732
7.83333333333,339.292646172,123.902350814
7.86666666667,332.774463007,125.424522673
7.9,325.797200715,126.810899345
7.93333333333,318.490526939,128.239490823
7.96666666667,311.315914489,129.290676960
8.0,303.922480620,130.292486583
8.03333333333,296.382186476,131.402144772
8.06666666667,288.192115328,132.194468961
8.1,279.926196033,132.950116686
8.13333333333,272.109665977,133.282293822
8.16666666667,264.591097923,133.627002967
8.2,257.256387403,133.408793821
8.23333333333,249.546902655,133.602654867
8.26666666667,242.291909197,133.858847497
8.3,235.389209463,133.838430467
8.33333333333,228.545454545,133.470891884
8.36666666667,222.627318718,133.094435076
